Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","TWN","Chine, Taiwan Province de","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","18936.553","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CYP","Chypre","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","1244.188","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CYP","Chypre","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","402.982","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CYP","Chypre","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","812.868","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COL","Colombie","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","51516.562","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COL","Colombie","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","9235.053","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COL","Colombie","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","41341.142","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COM","Comores","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","821.625","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COM","Comores","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","625.324","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COM","Comores","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","263.083","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COG","Congo","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","5835.806","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COG","Congo","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","1850.391","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COG","Congo","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","3983.698","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CRI","Costa Rica","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","5153.957","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CRI","Costa Rica","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","944.993","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CRI","Costa Rica","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","4142.55","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CIV","Côte d'Ivoire","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","27478.249","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CIV","Côte d'Ivoire","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","12828.984","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CIV","Côte d'Ivoire","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","13998.744","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HRV","Croatie","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","4060.135","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HRV","Croatie","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","1723.776","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HRV","Croatie","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","2368.602","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUB","Cuba","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","11256.372","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUB","Cuba","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","2611.407","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUB","Cuba","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","8888.324","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUW","Curaçao","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","190.338","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUW","Curaçao","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","18.029","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUW","Curaçao","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","146.429","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DNK","Danemark","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","5854.24","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DNK","Danemark","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","684.329","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DNK","Danemark","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","5134.933","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DJI","Djibouti","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","1105.557","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DJI","Djibouti","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","220.887","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DJI","Djibouti","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","793.138","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DMA","Dominique","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","72.412","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DMA","Dominique","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","21.568","X","Ciffre de sources internationales",""
